,counter_frame,i,x,y,z,visibility
0,1,0,0.3870292901992798,0.2562088966369629,-0.16526289284229279,0.9997932314872742
1,1,1,0.38943660259246826,0.24300749599933624,-0.17362789809703827,0.999733030796051
2,1,2,0.391526997089386,0.24165785312652588,-0.17363691329956055,0.9997921586036682
3,1,3,0.39371222257614136,0.24002976715564728,-0.17368263006210327,0.9998090863227844
4,1,4,0.3856838643550873,0.24455352127552032,-0.15364183485507965,0.9995706677436829
5,1,5,0.3849605321884155,0.24467886984348297,-0.15363138914108276,0.9994276165962219
6,1,6,0.38427478075027466,0.2447049766778946,-0.15367116034030914,0.9992876648902893
7,1,7,0.40548691153526306,0.23562294244766235,-0.16780301928520203,0.9998788833618164
8,1,8,0.39304855465888977,0.2423195093870163,-0.07699326425790787,0.9987782835960388
9,1,9,0.3943491280078888,0.2655932307243347,-0.1593649834394455,0.999843955039978
10,1,10,0.3903891444206238,0.26765528321266174,-0.13323090970516205,0.9994827508926392
11,1,11,0.42839500308036804,0.2799283564090729,-0.19310790300369263,0.999992847442627
12,1,12,0.4064730107784271,0.29588544368743896,0.02584763988852501,0.9992877840995789
13,1,13,0.42980411648750305,0.39275452494621277,-0.20826639235019684,0.9984708428382874
14,1,14,0.40132245421409607,0.3792329728603363,0.07950026541948318,0.17298783361911774
15,1,15,0.4047926962375641,0.47298935055732727,-0.19937674701213837,0.9960052371025085
16,1,16,0.39213281869888306,0.43944332003593445,0.03108178824186325,0.4096654951572418
17,1,17,0.4013133645057678,0.49092113971710205,-0.22034968435764313,0.9903837442398071
18,1,18,0.3888903558254242,0.4606567621231079,0.027590425685048103,0.3871231973171234
19,1,19,0.3971264660358429,0.4853716194629669,-0.22594107687473297,0.989988386631012
20,1,20,0.38734740018844604,0.45780959725379944,0.004490278195589781,0.4026023745536804
21,1,21,0.3980780839920044,0.47985291481018066,-0.19934050738811493,0.9823511838912964
22,1,22,0.3901822865009308,0.45064130425453186,0.01978793740272522,0.39882564544677734
23,1,23,0.4205285608768463,0.4674972891807556,-0.06897778809070587,0.9992368221282959
24,1,24,0.4091399013996124,0.4644206166267395,0.06899403035640717,0.9973107576370239
25,1,25,0.42002347111701965,0.5876864194869995,-0.04548753425478935,0.9831650257110596
26,1,26,0.4129219651222229,0.5720720291137695,0.1270730048418045,0.7341387867927551
27,1,27,0.44036951661109924,0.6935611963272095,0.00539456307888031,0.9763641357421875
28,1,28,0.42255279421806335,0.6668460369110107,0.21844196319580078,0.858622133731842
29,1,29,0.4492742121219635,0.7128591537475586,0.006072146352380514,0.949181079864502
30,1,30,0.42852500081062317,0.682753324508667,0.22440147399902344,0.8826018571853638
31,1,31,0.41627374291419983,0.728134036064148,-0.06574182212352753,0.9650790691375732
32,1,32,0.39509454369544983,0.6972688436508179,0.18237096071243286,0.9126719832420349
33,2,0,0.3875403106212616,0.25725457072257996,-0.126313716173172,0.9996506571769714
34,2,1,0.3898085355758667,0.24462266266345978,-0.13983039557933807,0.9995501041412354
35,2,2,0.3917788565158844,0.2432524859905243,-0.13985085487365723,0.9996818900108337
36,2,3,0.39383357763290405,0.2415410429239273,-0.13989898562431335,0.9997096657752991
37,2,4,0.3864421248435974,0.24587057530879974,-0.11727362126111984,0.9991769790649414
38,2,5,0.38588255643844604,0.24566076695919037,-0.11725582927465439,0.9989771842956543
39,2,6,0.38536131381988525,0.24540697038173676,-0.11728248745203018,0.9987273812294006
40,2,7,0.40535953640937805,0.2369191199541092,-0.16052678227424622,0.999819278717041
41,2,8,0.39476680755615234,0.24253776669502258,-0.05746660381555557,0.9978618621826172
42,2,9,0.3946571946144104,0.2662070393562317,-0.13013920187950134,0.9997602105140686
43,2,10,0.390967458486557,0.2680491805076599,-0.10038340836763382,0.9991984963417053
44,2,11,0.429603636264801,0.27977609634399414,-0.19516944885253906,0.9999932646751404
45,2,12,0.4069412648677826,0.2956583797931671,0.03187670186161995,0.9992359280586243
46,2,13,0.43011704087257385,0.3890562951564789,-0.21367007493972778,0.9984820485115051
47,2,14,0.402180016040802,0.3795650601387024,0.08020148426294327,0.17118412256240845
48,2,15,0.40540456771850586,0.4693298041820526,-0.20069532096385956,0.9959814548492432
49,2,16,0.3949695825576782,0.44090738892555237,0.03948443382978439,0.3962831497192383
50,2,17,0.40221360325813293,0.490146666765213,-0.22281602025032043,0.9903496503829956
51,2,18,0.3909660279750824,0.4662230908870697,0.03715071827173233,0.3751761019229889
52,2,19,0.397626131772995,0.48520299792289734,-0.2271893173456192,0.9899625182151794
